Individus.m;annee.m;sexe.m;age.m;poids.m;longueur_aile.m;longueur_du_tarsus.m;longueur_de_la_queue.m;projection_des_ailes.m;longueur_du_bec.m;hauteur_du_bec.m;largeur_du_bec.m
V-81;91;male;40;39;104,4;34,6;83;32;13,4;5,2;5,7
V-99;92;male;75;35,23333333;104,4666667;33,33333333;80,33333333;30,33333333;12,96666667;5,266666667;4,933333333
V5-22;98;male;35;33,7;100;33,4;78;28;13,1;5;5
V8-00;92;male;35;34,4;103;34,1;84;32;13;5,3;5,2
V8-07;92;male;35;35,8;102;32,8;84;30;13,2;5,2;5,1
V8-08;92;male;35;34,3;102;34,1;84;32;12,5;5;4,9
V8-10;92;male;35;38,8;100;34,7;80;30;12,9;5,2;5,1
V8-11;92;male;35;34,7;103;34;80;31,5;12,1;5,2;5,1
V8-15;92;male;35;33,8;103;32;86;31;12,9;5,5;5,2
V8-17;92;male;35;36,5;101;33,8;81;31;12,8;5,1;4,8
V8-20;92;male;20;36,8;99;33,1;79;30;12,1;5,2;5
V8-22;92;male;35;34,3;100,5;33,7;82;31,5;12,4;5,3;4,9
V8-44;92;male;35;34,3;103;33,2;86;32;12,8;4,9;4,8
V8-47;92;male;35;35,7;103;34,3;84;31;12,3;5,4;5,1
V8-48;92;male;35;36,3;103;33,9;83;32,5;13,2;5,3;5,1
V8-50;92;male;35;35,4;99;33,4;80,5;29;12,9;5,3;5,1
V8-52;92;male;35;34,3;100;32,1;78;30,5;12,7;5;5
V8-55;92;male;35;35,5;101;33,8;79;31;13;5;5
V8-72;92;male;35;36,5;102;34,7;83;31;13,2;5,4;5,1
V8-74;92;femelle;35;37,4;99;32,9;83;31;12,6;5,2;5,2
V8-79;92;male;35;33,5;97,5;33,2;81;28;12,3;5,2;5
V8-85;92;male;35;36;101;32,6;80;29,5;13;5,2;5
V8-88;92;male;35;34,7;104;34,2;82;29,5;13,6;5,2;5,2
V8-89;92;male;35;32,6;97;32,8;79;30;12,5;4,9;5
V8-95;92;male;35;33,4;100;32,9;79;28;13,1;5,2;5,2
V8-98;92;male;35;36,1;102;33,7;83;31,5;13,2;5,4;5,2
V8-99;92;male;35;33,4;103;33;81;31,5;12,7;5,6;5
V9-00;97,5;male;35;37,3;100,4;34,975;77;30,25;13,45;5,4;5,2
V9-01;97;male;20;35,2;99,4;34,2;77;30,5;12,3;5,2;4,7
V9-02;98;male;30;36;101,75;35,725;78,5;29;12,25;5,05;4,9
V9-03;97;femelle;30;35,5;98;32,1;76;29;12,3;5;5
V9-05;96;femelle;25;33,2;95;32,05;76;31;12,2;4,8;5
V9-07;97;male;20;34,7;99;32,9;78;28;12,6;5;5
V9-08;96,33333333;male;33,33333333;35,13333333;98,66666667;34,15;75,33333333;29,66666667;12,7;5,4;5,166666667
V9-09;96,5;femelle;40;32,45;95,5;32,425;74,5;27,5;12,55;5;4,85
V9-11;97,33333333;femelle;38,33333333;31,56666667;95;32,7;72;29,66666667;12,56666667;5,166666667;5
V9-12;98;male;30;33,05;102;34,05;82,5;30;13,05;5,35;5
V9-13;96,5;male;40;34,35;102,6;33,575;80,25;29;12,85;5,1;4,9
V9-15;97;male;20;33,4;98,5;34,025;74;28,5;12;5,2;5,1
V9-17;95;femelle;30;33,8;94,5;31,9;72;25;12,7;5,1;5,1
V9-19;97,5;femelle;25;32,85;97,5;32,05;74,5;28,5;12,1;5,1;5,1
V9-20;97;femelle;20;31,4;97;32,2;72;29;12,7;5,1;5
V9-21;97;male;45;35;100,7;34,05;77,5;30,75;11,9;5,25;5,05
V9-22;96;femelle;35;30,8;95;31,4;73;27;13,1;5,3;5,2
V9-23;97;femelle;35;32,4;94;32,1;70;29;12,8;5,1;4,9
V9-25;97,5;femelle;25;31,8;94,5;31,95;74;27,5;11,55;5;4,85
V9-27;97;femelle;30;30,8;92,75;31,9875;71,25;26,5;11,875;4,9;4,95
V9-28;97;femelle;30;32,3;95;32,4;71;27;11,7;5;4,4
V9-29;95,5;femelle;40;32,75;96,65;32,45;75;28,25;12,95;5,2;5,45
V9-30;98;male;20;34,1;100;33,7;77;29;11,4;5,2;4,5
V9-32;95;femelle;20;36,2;96,3;32,3;74;27,5;12,7;5,3;5,1
V9-33;97;femelle;20;35,7;99;32,1;76;29,5;13,2;5,2;5,2
V9-34;98;femelle;35;35,3;96;32,75;71;27;12,5;5,1;5
V9-35;96;male;35;35,15;101,5;33,25;75,5;30;12,35;5,3;4,95
V9-38;97;femelle;30;30,4;97;31,8;70;29;11,8;4,9;4,8
V9-40;97;femelle;25;32,7;97;32,9;79;30;12,5;5,3;5,3
V9-41;96,66666667;femelle;33,33333333;30,4;98,66666667;32,33333333;74;27,66666667;12,3;5,1;4,866666667
V9-42;98;femelle;20;27,7;97;32,15;78;26;12,2;5,2;5,1
V9-43;97;male;35;32,15;100;32,925;79;30;12,15;5,05;5,1
V9-44;96;femelle;20;34,7;99;34,1;78;29;12,3;5,1;5,1
V9-47;97;femelle;30;33,65;98;33,35;74,5;31;12,65;5,075;4,9
V9-48;97;femelle;45;31,6;98;33,11666667;76;27,66666667;11,93333333;5,066666667;4,9
V9-49;97,5;femelle;35;31,75;98,5;32,15;77;25,5;12,5;4,85;4,8
V9-50;96;male;35;31,9;97;32,1;73;28;12,7;5,1;5
V9-51;95;male;20;32,2;101;33,2;82;32,2;11,3;5,1;4,9
V9-52;97;male;20;35,25;98;33,025;74,5;28,75;12,1;5,05;4,95
V9-54;97;femelle;20;32,8;96;32,95;72;28;12,8;5,1;5,1
V9-55;96;male;35;33,85;101,25;33,15;78;28;12,75;5,05;5,15
V9-58;98;femelle;30;32,8;98;32,25;72;29;13;5;5,1
V9-59;97;femelle;35;34,8;98;34,05;77;31;12,5;5,2;5
V9-70;97;male;35;32,7;101;33,3;80;31;12,2;5;4,6
V9-71;97;femelle;20;34,1;97;32,35;73;31;11,8;5,1;5,1
V9-73;96;male;30;37,35;103;35,575;78,5;30;12,65;5,45;5,3
V9-75;98;femelle;20;33,6;97;32,8;77;28;12,3;5;5
V9-77;97;femelle;35;35;95;33,2;72;29;12,5;5,1;5
V9-78;97;male;20;34,7;100,9;34,95;82;29,5;12,4;5,2;4,9
V9-79;95,33333333;femelle;35;33,3;96,33333333;33,51666667;74,66666667;29,16666667;13;4,933333333;5,1
V9-80;97;femelle;35;32,25;97,5;32;76;27,75;12,55;5,35;5,1
V9-81;96;femelle;35;31,3;99;33,2;75;31;11,9;5;5
V9-82;98;male;20;34,8;101;34,8;79;30;12,6;5,1;4,9
V9-83;97,5;femelle;27,5;33,1;96;31,325;75,5;27;11,75;5,15;5,05
V9-85;96;male;35;33,6;99;33,45;79;29;13;5,1;5,3
V9-87;95;femelle;30;35;97;32,5;79;26;13;4,9;4,9
V9-88;97;male;20;36,5;101;34,85;77;30;13,7;5,7;5
V9-89;97;male;20;34,7;102;33;79;28;12,7;5,2;5,3
V9-90;98;male;30;31,3;98;34,2;75;28;11,6;5,3;5,1
V9-92;96;femelle;35;34,6;95;33,1;72;26;12,2;4,9;5
V9-93;98;femelle;25;34,5;96;33,75;78;28;13;5,5;5,2
V9-95;97;male;35;35,3;101;35,05;83;29;12,6;5,7;4,8
V9-97;98;male;20;36,8;99;34,2;76;29;12,4;5;4,8
V9-98;96;femelle;20;35,1;93;32,5;72;25;11,8;5;5
V9-99;95,5;male;25;35,05;99,25;33,275;76,5;29;12,15;5,2;5,35
VB-00;98;male;35;32,6;99;33,55;78;29;12,7;5,1;4,9
VB-01;98;male;20;37,2;103;35,05;81;30;13;5;5
VB-03;98;male;30;35,6;103;34,4;81;31;12,3;5,1;4,8
VB-05;98;male;35;36,7;105;33,6;82;32;13,1;5,1;5,1
VB-12;98;male;20;35;98;34,4;74;29;12;4,9;5
VB-14;98;male;20;36;101;33,15;78;27;12,8;5,4;5
VB-15;98;male;35;31,6;101;31,75;77;30;13,1;5;4,8
VB-17;98;male;35;35,1;98;33,8;76;28;12,5;5;5
VB-18;98;male;35;33,4;100;33,95;80;30;13,3;5,1;4,9
VB-19;98;male;35;34,5;100;33,45;76;30;12,3;5;4,9
VB-21;98;male;35;34,9;102;32,95;80;31;12,8;4,9;4,7
VB-22;98;male;20;37;102;34,4;82;31;12,2;5,1;5
VB-23;98;male;35;35;98;32,85;78;30;13;5;5
VB-24;98;male;20;38,6;103;34;75;31;12,9;5;4,9
VB-27;98;male;25;35,8;101;33,8;75;30;11,9;5;5
VB-28;98;male;20;35;99;32,5;78;30;13,1;5,1;5,1
VB-29;98;male;35;35,3;98;33,85;75;31;12,7;5,1;5
VB-31;98;male;35;35,4;102;33,1;80;30;12,1;5;4,9
VB-32;98;male;35;32,4;102;33;80;32;12,9;5;4,9
VB-33;98;male;35;34,3;101;33,8;79;29;12,3;5,1;4,6
VB-34;98;male;35;34,6;101;34,1;80;31;12,9;5;5
VB-35;98;male;35;37,2;104;32,4;80;32;12,8;5;4,9
VB-37;98;male;25;32,2;100;33,4;80;30;12,5;5;4,9
VB-38;98;femelle;35;31,3;97;31,9;74;28;12,2;5;5
VB-39;98;male;35;35,7;102;33,65;79;32;12,9;5,1;5
VB-42;98;male;35;34,3;102;33;80;31;12,4;5;5
VB-43;98;male;35;36,1;102;34,5;81;30;12,4;5,2;4,9
VB-44;98;male;35;32,3;101;32;78;31;12,6;5;4,9
VB-45;98;male;35;32,2;100;32,2;76;32;12,6;4,7;5
